ID,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weatherconditions,Road_traffic_density,Type_of_vehicle,multiple_deliveries,Time_taken(min)
0x8b53 ,4.7,21.157735,72.768778,21.197735,72.808778,Sunny,High,scooter,1,18
0xbbde ,4.6,21.186438,72.794115,21.226438,72.834115,Fog,Medium,scooter,0,17
0xa9f ,4.7,12.935662,77.61413,12.975662,77.65413,Fog,Low,scooter,0,19
0x4b7f ,4.7,17.431477,78.40035,17.491477,78.46035,Fog,Low,motorcycle,0,10
0x633c ,4.6,12.933298,77.614293,13.023298,77.704293,Fog,Jam,scooter,2,44
0x2dc6 ,4.7,22.311358,73.164798,22.351358,73.204798,Windy,High,electric_scooter,1,28
0x903a ,4.7,12.934365,77.616155,13.044365,77.726155,Cloudy,Jam,scooter,1,42
0x34d7 ,4.7,19.254567,72.848923,19.364567,72.958923,Stormy,Medium,motorcycle,0,20
0x156b ,5.0,26.913483,75.803139,26.933483,75.823139,Stormy,High,motorcycle,1,31
0x56ad ,4.6,17.411028,78.329645,17.471028,78.389645,Stormy,Jam,motorcycle,0,13
0x837c ,4.8,18.516216,73.842527,18.566216,73.892527,Stormy,Jam,motorcycle,1,28
0xcbc4 ,4.8,15.5696,73.742294,15.6096,73.782294,Windy,High,scooter,1,19
0xc19e ,4.6,19.876428,75.364792,19.956428,75.444792,Fog,Low,motorcycle,2,42
0x1d60 ,5.0,12.939496,77.625999,12.949496,77.635999,Fog,Low,motorcycle,1,23
0x95fb ,4.2,17.433809,78.386744,17.543809,78.496744,Stormy,Jam,motorcycle,1,39
0x8195 ,4.6,23.374878,85.335739,23.384878,85.345739,Stormy,Low,motorcycle,1,25
0x6d19 ,4.9,22.74806,75.8934,22.76806,75.9134,Cloudy,Low,scooter,1,15
0x35e6 ,4.8,26.891191,75.802083,26.981191,75.892083,Sunny,Medium,electric_scooter,0,15
0xb437 ,5.0,21.160437,72.774209,21.270437,72.884209,Stormy,Jam,motorcycle,1,15
0x97e3 ,5.0,12.316967,76.603067,12.366967,76.653067,Sunny,Low,motorcycle,0,18
0xa3e0 ,4.7,18.927584,72.832585,19.017584,72.922585,Sandstorms,Low,electric_scooter,0,29
0x4161 ,4.7,11.022298,76.998349,11.072298,77.048349,Fog,Low,motorcycle,0,20
0x1236 ,4.4,12.325461,76.632278,12.365461,76.672278,Cloudy,High,scooter,1,39
0x2558 ,4.8,18.530963,73.828972,18.640963,73.938972,Windy,Low,motorcycle,0,19
0x3185 ,4.8,17.458998,78.500366,17.488998,78.530366,Cloudy,Low,scooter,1,19
0x3c57 ,4.8,19.1813,72.836191,19.3113,72.966191,Windy,Low,motorcycle,0,17
0x4863 ,4.6,11.022477,76.995667,11.032477,77.005667,Stormy,Low,motorcycle,1,15
0x6757 ,4.3,22.727021,75.884167,22.747021,75.904167,Sandstorms,Low,motorcycle,0,19
0x22ad ,4.6,12.979166,77.640709,13.069166,77.730709,Sandstorms,Jam,motorcycle,1,29
0x9f99 ,4.8,18.994237,72.825553,19.104237,72.935553,Cloudy,Low,scooter,1,22
0x6781 ,4.3,12.284747,76.625861,12.414747,76.755861,Fog,Jam,scooter,0,42
0x1b8d ,4.7,21.175975,72.795503,21.195975,72.815503,Sandstorms,Low,scooter,0,12
0x1aea ,4.2,11.000762,76.981876,11.130762,77.111876,Cloudy,Jam,motorcycle,1,38
0x1e42 ,4.6,21.173343,72.792731,21.283343,72.902731,Sunny,Low,motorcycle,1,23
0xddc8 ,4.7,26.479108,80.315042,26.499108,80.335042,Cloudy,Low,scooter,0,15
0x24ac ,4.6,21.175104,72.804342,21.255104,72.884342,Sunny,Low,motorcycle,1,24
0x3f01 ,3.8,19.176269,72.836721,19.286269,72.946721,Windy,Jam,motorcycle,0,37
0x628c ,4.8,12.975377,77.696664,13.025377,77.746664,Sandstorms,Low,scooter,0,24
0x6c38 ,4.8,23.359194,85.325447,23.419194,85.385447,Sunny,Low,electric_scooter,0,13
0x4beb ,4.8,12.297954,76.665169,12.307954,76.675169,Cloudy,Low,motorcycle,0,16
0x8339 ,4.9,23.359407,85.325055,23.439407,85.405055,Cloudy,Medium,motorcycle,1,42
0x3ec5 ,4.9,23.416792,85.316842,23.506792,85.406842,Sandstorms,Low,motorcycle,1,17
0xadb4 ,4.6,26.892312,75.806896,26.922313,75.836896,Cloudy,Jam,motorcycle,0,25
0x6e2 ,4.7,22.31279,73.170283,22.42279,73.280283,Fog,Low,electric_scooter,0,25
0x2bc0 ,4.2,22.761593,75.886362,22.871593,75.996362,Fog,Medium,scooter,0,39
0x99e7 ,4.8,11.026117,76.944652,11.066117,76.984652,Sunny,High,scooter,0,18
0x39ef ,4.9,13.064181,80.236442,13.104181,80.276442,Sandstorms,Medium,motorcycle,1,28
0xe264 ,4.5,26.483042,80.317833,26.533042,80.367833,Sandstorms,Low,scooter,1,18
0xbd03 ,4.9,11.000762,76.981876,11.130762,77.111876,Windy,Low,scooter,0,18
0x9a29 ,4.7,23.359033,85.325347,23.469033,85.435347,Fog,Jam,scooter,1,49
0xd0e5 ,4.7,22.569358,88.433452,22.599358,88.463452,Sunny,Low,motorcycle,0,15
0xa480 ,4.6,12.914264,77.6784,12.994264,77.7584,Sunny,Low,motorcycle,1,21
0xb46c ,4.7,19.121999,72.908493,19.161999,72.948493,Sunny,High,scooter,0,23
0x7150 ,5.0,21.157729,72.768726,21.167729,72.778726,Fog,Low,scooter,1,11
0x1e58 ,4.6,22.311603,73.165012,22.371603,73.225012,Cloudy,Jam,motorcycle,0,25
0x4460 ,4.9,18.536562,73.896485,18.556562,73.916485,Fog,Low,motorcycle,0,18
0x977d ,4.7,22.745536,75.893106,22.765536,75.913106,Cloudy,Low,motorcycle,0,14
0x1602 ,4.9,12.933298,77.614293,13.023298,77.704293,Windy,Medium,motorcycle,2,36
0x894e ,4.8,12.939496,77.625999,12.989496,77.675999,Fog,Low,motorcycle,1,18
0x655 ,4.4,17.426228,78.407495,17.436228,78.417495,Sandstorms,Low,motorcycle,1,28
0x20f6 ,4.6,12.934365,77.616155,13.024365,77.706155,Fog,Jam,motorcycle,0,44
0x3db1 ,4.3,11.003669,76.976494,11.063669,77.036494,Windy,Low,motorcycle,1,20
0x1ec7 ,4.7,18.543626,73.905101,18.573626,73.935101,Stormy,Low,scooter,0,19
0x8ed2 ,5.0,22.311358,73.164798,22.381358,73.234798,Fog,Jam,motorcycle,1,35
0x2ed0 ,4.1,17.41233,78.449654,17.47233,78.509654,Stormy,Jam,scooter,1,34
0x4008 ,4.6,21.17106,72.789292,21.25106,72.869292,Sunny,Jam,electric_scooter,1,17
0x7553 ,4.6,21.186884,72.793616,21.226884,72.833616,Sandstorms,High,scooter,0,23
0x35d8 ,4.9,11.026117,76.944652,11.056117,76.974652,Fog,Medium,motorcycle,1,27
0x4c88 ,3.9,19.065838,72.832658,19.135838,72.902658,Cloudy,Low,scooter,1,35
0x81a5 ,4.4,12.98041,77.640489,13.04041,77.700489,Sandstorms,Low,motorcycle,0,23
0xae56 ,4.6,11.022477,76.995667,11.132477,77.105667,Stormy,Medium,motorcycle,0,30
0x9b79 ,4.8,12.310972,76.659264,12.350972,76.699264,Cloudy,High,motorcycle,1,28
0x596a ,4.7,11.025083,77.015393,11.105083,77.095393,Sandstorms,Medium,motorcycle,1,24
0x78aa ,5.0,12.316967,76.603067,12.446967,76.733067,Cloudy,Jam,motorcycle,1,36
0xd7ec ,4.3,22.538731,88.364878,22.598731,88.424878,Sandstorms,Low,motorcycle,0,28
0x55b1 ,4.8,11.001753,76.986241,11.111753,77.096241,Fog,Medium,motorcycle,1,31
0x87e4 ,4.0,22.310237,73.158921,22.400237,73.248921,Sunny,Jam,motorcycle,3,44
0x82c3 ,4.8,23.359033,85.325347,23.439033,85.405347,Windy,Low,scooter,1,15
0x5397 ,4.4,18.593481,73.785901,18.663481,73.855901,Windy,Medium,motorcycle,1,33
0x876b ,4.9,21.186438,72.794115,21.236438,72.844115,Fog,Jam,motorcycle,0,30
0x3a5a ,4.9,22.725748,75.898497,22.775748,75.948497,Stormy,Medium,scooter,1,22
0x5631 ,4.8,17.450851,78.379347,17.540851,78.469347,Fog,Medium,motorcycle,3,48
0xde01 ,4.7,10.035573,76.336958,10.105573,76.406958,Windy,Medium,motorcycle,1,21
0x8771 ,4.3,22.308096,73.167753,22.388096,73.247753,Windy,Jam,motorcycle,0,44
0x3645 ,4.5,12.975996,80.221898,12.985996,80.231898,Windy,Low,scooter,0,26
0x1ff1 ,4.7,12.3085,76.665808,12.3385,76.695808,Windy,Low,scooter,1,26
0x4a3c ,5.0,19.178321,72.834715,19.188321,72.844715,Windy,High,motorcycle,1,31
0x6cc6 ,4.5,26.910262,75.783013,26.990262,75.863013,Sunny,Jam,scooter,0,18
0xc141 ,4.7,25.443994,81.860187,25.513994,81.930187,Fog,Medium,motorcycle,1,38
0x690f ,4.6,23.359194,85.325447,23.449194,85.415447,Cloudy,Medium,motorcycle,1,32
0xb4ba ,4.9,17.458998,78.500366,17.508998,78.550366,Sandstorms,Low,scooter,1,17
0x63a9 ,4.8,18.530963,73.828972,18.590963,73.888972,Fog,Medium,scooter,1,11
0x88dd ,4.7,12.321214,76.621094,12.361214,76.661094,Windy,High,motorcycle,1,31
0x1b58 ,4.7,26.913483,75.803139,26.983483,75.873139,Sandstorms,Medium,motorcycle,0,43
0x87a8 ,4.6,12.3085,76.665808,12.3685,76.725808,Windy,Medium,motorcycle,0,25
0x3f8d ,4.8,19.055831,72.833984,19.115831,72.893984,Cloudy,Jam,motorcycle,1,22
0x290c ,4.9,12.337928,76.617889,12.407928,76.687889,Fog,Jam,motorcycle,3,43
0x7ece ,4.7,23.351489,85.324253,23.421489,85.394253,Fog,Jam,motorcycle,1,42
0x1365 ,3.9,22.728163,75.884212,22.808163,75.964212,Stormy,Jam,motorcycle,0,42
0x8f3c ,4.7,26.766536,75.837333,26.786536,75.857333,Sandstorms,Low,motorcycle,1,17
0x2fe1 ,4.6,21.149834,72.778666,21.179834,72.808666,Stormy,Jam,scooter,0,25
0x4b5b ,4.3,12.3085,76.665808,12.3985,76.755808,Sandstorms,Jam,motorcycle,1,54
0x7405 ,4.9,21.149669,72.772629,21.219669,72.842629,Windy,Low,motorcycle,0,21
0x6245 ,4.0,17.411028,78.329645,17.451028,78.369645,Cloudy,High,motorcycle,1,34
0xd02b ,4.1,26.482581,80.315628,26.572581,80.405628,Fog,Jam,motorcycle,1,36
0x1f0e ,4.9,12.284747,76.625861,12.344747,76.685861,Sunny,Medium,motorcycle,0,17
0x7085 ,4.7,26.911378,75.789034,26.921378,75.799034,Sunny,Low,motorcycle,1,16
0x57fa ,4.7,13.02978,80.208812,13.10978,80.288812,Sunny,Jam,electric_scooter,1,27
0x57fc ,4.5,12.323194,76.630583,12.363194,76.670583,Fog,High,motorcycle,1,26
0x7a1f ,4.6,18.563934,73.915367,18.653934,74.005367,Fog,Jam,motorcycle,2,46
0xceac ,5.0,22.569367,88.433187,22.629367,88.493187,Sunny,Jam,motorcycle,0,29
0xa0a5 ,4.8,12.949934,77.699386,13.009934,77.759386,Sandstorms,Jam,motorcycle,1,23
0x892d ,5.0,21.175975,72.795503,21.255975,72.875503,Sandstorms,Low,scooter,1,11
0x6118 ,4.9,22.725835,75.887648,22.835835,75.997648,Stormy,Medium,motorcycle,0,28
0x46fd ,4.8,18.536562,73.896485,18.596562,73.956485,Cloudy,Jam,motorcycle,1,25
0x5134 ,4.7,23.416792,85.316842,23.436792,85.336842,Sandstorms,Low,motorcycle,0,11
0xd418 ,4.9,30.89286,75.822199,30.92286,75.852199,Windy,Medium,scooter,1,26
0x256c ,4.3,12.310972,76.659264,12.330972,76.679264,Stormy,Low,motorcycle,1,23
0x6055 ,4.0,26.913987,75.752891,26.993987,75.832891,Fog,Medium,motorcycle,2,39
0x7bfb ,4.5,11.001753,76.986241,11.021753,77.006241,Fog,Low,motorcycle,0,11
0x7220 ,3.9,22.310237,73.158921,22.390237,73.238921,Stormy,Jam,electric_scooter,1,32
0x1568 ,4.8,12.933284,77.615428,13.003284,77.685428,Fog,Medium,motorcycle,1,43
0x41ea ,4.7,12.297954,76.665169,12.337954,76.705169,Fog,Medium,scooter,1,13
0x1c60 ,4.7,12.352058,76.60665,12.362058,76.61665,Windy,Low,electric_scooter,0,25
0x7944 ,5.0,13.086438,80.220672,13.146439,80.280672,Windy,Medium,motorcycle,0,27
0x77ee ,4.5,17.429585,78.392621,17.469585,78.432621,Windy,Medium,scooter,1,29
0x2192 ,4.1,12.978453,77.643685,13.048453,77.713685,Sandstorms,Medium,motorcycle,1,33
0x78bf ,4.4,12.98041,77.640489,13.11041,77.770489,Sunny,Medium,motorcycle,1,33
0x4321 ,4.8,26.846156,75.8023,26.926156,75.8823,Windy,Medium,electric_scooter,0,15
0xe00d ,4.6,25.449659,81.839744,25.479659,81.869744,Stormy,Jam,scooter,1,29
0x1e86 ,4.9,26.911927,75.797282,27.051927,75.937282,Stormy,Low,scooter,1,18
0xcff0 ,5.0,10.020683,76.310631,10.030683,76.320631,Stormy,Low,motorcycle,1,14
0x1e2d ,4.7,12.935662,77.61413,12.975662,77.65413,Windy,Medium,motorcycle,1,30
0xd072 ,4.9,15.585658,73.743606,15.625658,73.783606,Sunny,High,motorcycle,0,28
0x427b ,4.9,17.429585,78.392621,17.519585,78.482621,Cloudy,Medium,motorcycle,0,30
0x52e2 ,4.8,26.766536,75.837333,26.896536,75.967333,Sandstorms,Medium,motorcycle,1,36
0x9395 ,4.4,26.846156,75.8023,26.986156,75.9423,Fog,Low,motorcycle,1,37
0xb5d2 ,4.7,26.913987,75.752891,27.053987,75.892891,Cloudy,Jam,motorcycle,1,43
0x6c4d ,4.6,22.310526,73.170937,22.420526,73.280937,Sunny,Low,scooter,1,29
0x98ca ,4.7,12.972532,77.608179,13.022532,77.658179,Fog,Medium,electric_scooter,1,15
0x644b ,4.0,19.103249,72.846749,19.193249,72.936749,Windy,Jam,motorcycle,2,39
0x7a2d ,4.6,17.426228,78.407495,17.506228,78.487495,Windy,Low,motorcycle,1,20
0xe13f ,4.6,26.471617,80.313564,26.491617,80.333564,Fog,Low,motorcycle,1,15
0xc278 ,4.8,19.866969,75.318894,19.976969,75.428894,Sandstorms,Low,motorcycle,1,16
0x5912 ,4.7,18.593481,73.785901,18.603481,73.795901,Sunny,Low,scooter,1,19
0xab33 ,4.9,12.906229,77.596791,12.986229,77.676791,Fog,Low,scooter,0,20
0xdd96 ,4.8,26.482581,80.315628,26.552581,80.385628,Sunny,Jam,scooter,1,25
0x7646 ,4.8,12.933298,77.614293,13.013298,77.694293,Cloudy,Jam,motorcycle,1,43
0x5ef5 ,4.5,22.751857,75.866699,22.881857,75.996699,Windy,Low,motorcycle,0,15
0x7ef7 ,4.5,11.010375,76.95295,11.090375,77.03295,Sunny,Jam,motorcycle,0,29
0x1136 ,4.6,17.483216,78.552111,17.523216,78.592111,Stormy,High,motorcycle,0,14
0xd032 ,4.8,27.160934,78.044095,27.220934,78.104095,Sunny,Medium,motorcycle,1,11
0x199d ,4.0,11.006686,76.951736,11.056686,77.001736,Sandstorms,Low,motorcycle,1,19
0xcf18 ,4.7,25.457687,81.835585,25.497687,81.875585,Cloudy,Medium,motorcycle,1,11
0x1dad ,4.8,19.12663,72.829976,19.13663,72.839976,Sunny,High,motorcycle,0,14
0xc918 ,5.0,19.875016,75.322405,19.965016,75.412405,Windy,Low,motorcycle,0,15
0x33c1 ,4.7,19.178321,72.834715,19.248321,72.904715,Sandstorms,Low,motorcycle,1,16
0x1b50 ,4.7,18.536718,73.830327,18.646718,73.940327,Fog,Low,motorcycle,1,43
0x27fe ,4.8,13.026279,80.174568,13.046279,80.194568,Stormy,Low,motorcycle,1,20
0x1536 ,4.9,17.455894,78.375467,17.485894,78.405467,Stormy,Low,motorcycle,1,26
0xa152 ,4.9,21.149834,72.778666,21.209834,72.838666,Windy,Medium,scooter,0,26
0x9c9a ,4.4,11.022477,76.995667,11.092477,77.065667,Windy,Jam,motorcycle,0,43
0x3052 ,4.6,22.310237,73.158921,22.370237,73.218921,Sandstorms,Medium,motorcycle,1,25
0x1045 ,4.9,11.010375,76.95295,11.050375,76.99295,Fog,Medium,motorcycle,1,28
0x2391 ,4.5,22.745049,75.892471,22.835049,75.982471,Stormy,Low,scooter,0,17
0x7ddd ,4.2,22.74806,75.8934,22.83806,75.9834,Windy,Jam,motorcycle,1,44
0x279f ,4.2,19.178321,72.834715,19.268321,72.924715,Stormy,Jam,motorcycle,1,33
0xaefa ,4.5,12.979096,77.640625,13.009096,77.670625,Sunny,Medium,motorcycle,0,15
0xdad6 ,4.7,27.163303,78.057044,27.293303,78.187044,Fog,Low,scooter,1,27
0xc237 ,4.7,26.482419,80.320939,26.502419,80.340939,Cloudy,High,scooter,1,25
0x4efc ,4.8,22.310237,73.158921,22.350237,73.198921,Sunny,High,motorcycle,1,18
0x6e33 ,4.9,22.307898,73.167788,22.367898,73.227788,Stormy,Medium,scooter,0,21
0xd92f ,4.9,27.160832,78.011608,27.230832,78.081608,Cloudy,Jam,motorcycle,2,53
0xd902 ,4.4,10.027014,76.308053,10.137014,76.418053,Sandstorms,Jam,motorcycle,3,42
0xd91a ,4.9,30.890184,75.829615,31.000184,75.939615,Sunny,Jam,motorcycle,1,20
0x4f0c ,4.7,11.003681,76.975525,11.133681,77.105525,Fog,Low,scooter,0,29
0x3329 ,4.7,11.006686,76.951736,11.056686,77.001736,Fog,Medium,motorcycle,1,30
0x1aa8 ,4.8,21.15276,72.778059,21.28276,72.908059,Windy,Jam,motorcycle,1,28
0x144d ,4.8,22.753839,75.897429,22.773839,75.917429,Stormy,Low,motorcycle,1,19
0xd27b ,4.5,19.876106,75.340775,20.006106,75.470775,Sandstorms,Low,motorcycle,1,15
0x7c60 ,4.1,12.933298,77.614293,12.943298,77.624293,Stormy,High,motorcycle,1,41
0xc63e ,4.3,30.328174,78.049117,30.398174,78.119117,Cloudy,Medium,scooter,2,35
0x7b03 ,4.5,12.978453,77.643685,13.048453,77.713685,Windy,Jam,motorcycle,1,27
0x9e5a ,4.5,26.911927,75.797282,26.971927,75.857282,Fog,Low,scooter,0,12
0x70b1 ,4.4,22.307898,73.167788,22.417898,73.277788,Stormy,Jam,motorcycle,1,47
0x59e5 ,4.5,21.170096,72.789122,21.220096,72.839122,Fog,Low,motorcycle,1,26
0xdeac ,4.9,30.905562,75.832841,30.995562,75.922841,Cloudy,Medium,electric_scooter,1,31
0xa053 ,3.8,26.849596,75.800512,26.989596,75.940512,Sandstorms,Jam,motorcycle,1,42
0x7031 ,4.9,11.003681,76.975525,11.043681,77.015525,Cloudy,High,scooter,1,25
0xd3bc ,4.4,27.163303,78.057044,27.243303,78.137044,Sandstorms,Jam,motorcycle,1,39
0x8de9 ,4.9,21.157729,72.768726,21.247729,72.858726,Fog,Low,scooter,1,21
0x7c84 ,4.9,26.902328,75.794257,26.932328,75.824257,Fog,Medium,electric_scooter,0,18
0x96d2 ,4.8,26.90519,75.810753,26.99519,75.900753,Sandstorms,Jam,scooter,1,22
0x77b5 ,4.8,17.428294,78.404423,17.448294,78.424423,Fog,Low,motorcycle,1,23
0x75dc ,4.0,12.316967,76.603067,12.446967,76.733067,Stormy,Medium,motorcycle,0,48
0xbe78 ,4.5,12.975377,77.696664,13.055377,77.776664,Windy,Low,scooter,0,13
0x416f ,4.9,12.323978,76.627961,12.453978,76.757961,Sandstorms,Jam,electric_scooter,0,16
0xa4f5 ,5.0,11.025083,77.015393,11.055083,77.045393,Cloudy,Medium,electric_scooter,0,19
0xa4eb ,4.8,12.933284,77.615428,12.953284,77.635428,Sunny,Low,motorcycle,1,18
0xd4da ,5.0,26.492106,80.327797,26.562106,80.397797,Windy,Jam,motorcycle,1,27
0xb59b ,4.5,19.003517,72.82765,19.073517,72.89765,Sunny,Medium,motorcycle,1,25
0x4f73 ,5.0,10.994136,76.963303,11.024136,76.993303,Stormy,Medium,scooter,1,31
0x6a7 ,4.7,23.353783,85.326967,23.463783,85.436967,Fog,Jam,scooter,1,39
0xadae ,4.6,17.440827,78.393391,17.510827,78.463391,Sunny,Medium,motorcycle,0,20
0xb785 ,3.9,19.12663,72.829976,19.20663,72.909976,Windy,Jam,motorcycle,2,38
0x8366 ,4.6,12.297954,76.665169,12.327954,76.695169,Windy,Low,motorcycle,1,19
0x8f58 ,4.6,22.308096,73.167753,22.318096,73.177753,Cloudy,Low,motorcycle,0,24
0x247c ,4.8,12.323194,76.630583,12.343194,76.650583,Fog,High,scooter,1,26
0x43b9 ,4.8,17.450851,78.379347,17.510851,78.439347,Sandstorms,Medium,motorcycle,1,28
0x9e8a ,4.7,18.543626,73.905101,18.623626,73.985101,Sandstorms,Medium,scooter,1,16
0x1b40 ,4.2,12.304569,76.643622,12.364569,76.703622,Windy,Low,motorcycle,0,24
0xb4fb ,4.7,12.299524,76.64262,12.369524,76.71262,Windy,Medium,motorcycle,1,24
0xb50 ,4.3,26.849596,75.800512,26.869596,75.820512,Stormy,High,scooter,1,34
0x3376 ,4.8,19.003517,72.82765,19.013517,72.83765,Cloudy,Low,motorcycle,1,16
0xbecb ,4.9,21.160522,72.771477,21.210522,72.821477,Windy,Low,motorcycle,1,26
0x4357 ,5.0,22.728163,75.884212,22.858163,76.014212,Fog,Medium,motorcycle,1,25
0x1486 ,4.6,22.31279,73.170283,22.38279,73.240283,Fog,Medium,motorcycle,2,49
0x5b70 ,4.6,12.98041,77.640489,13.06041,77.720489,Windy,Medium,electric_scooter,0,24
0x3e21 ,4.6,19.131141,72.813074,19.16114,72.843074,Sunny,Medium,motorcycle,1,26
